=== Solar Power Monitor Log - 2025-06-29 ===
Time     | Device              | WiFi RSSI | Free Heap    | Uptime
20:28:36 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 224872 bytes | Uptime: 5538.5s
20:30:36 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 224872 bytes | Uptime: 5658.9s
20:32:37 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 224872 bytes | Uptime: 5779.2s
20:34:37 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 224872 bytes | Uptime: 5899.5s
20:36:37 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6019.9s
20:38:38 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6140.2s
20:40:38 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6260.6s
20:42:38 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 224872 bytes | Uptime: 6380.9s
20:44:39 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6501.3s
20:46:39 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 224872 bytes | Uptime: 6621.7s
20:48:40 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 224872 bytes | Uptime: 6742.0s
20:50:40 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6862.3s
20:52:40 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 6982.7s
20:54:41 | Device: esp32_solar_monitor | WiFi RSSI: -27 dBm | Free Heap: 224872 bytes | Uptime: 7103.0s
20:56:41 | Device: esp32_solar_monitor | WiFi RSSI: -28 dBm | Free Heap: 224896 bytes | Uptime: 7223.4s
20:58:41 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 7344.0s
21:00:42 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 224872 bytes | Uptime: 7464.3s
21:02:42 | Device: esp32_solar_monitor | WiFi RSSI: -24 dBm | Free Heap: 224872 bytes | Uptime: 7584.7s
21:04:43 | Device: esp32_solar_monitor | WiFi RSSI: -26 dBm | Free Heap: 224872 bytes | Uptime: 7705.0s
21:06:43 | Device: esp32_solar_monitor | WiFi RSSI: -25 dBm | Free Heap: 224872 bytes | Uptime: 7825.4s
